,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
41,41,Kulhudhuffushi,MV,6.6221,73.07,80.11,78,88,12.73,overcast clouds,Haajy Guest House 1
51,51,Mahebourg,MU,-20.4081,57.7,71.26,88,20,3.44,few clouds,Shandrani Beachcomber Resort & Spa
56,56,Pak Phanang,TH,8.3511,100.202,82.42,79,100,5.68,overcast clouds,Green Park Inn Hotel
57,57,Olinda,BR,-8.0089,-34.8553,80.33,65,40,8.05,scattered clouds,Flat Quatro Rodas Olinda
65,65,Hilo,US,19.7297,-155.09,79.25,80,20,9.22,light rain,Hilo Hawaiian Hotel
68,68,Bathsheba,BB,13.2167,-59.5167,79.41,83,20,17.27,few clouds,Atlantis Hotel
69,69,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,78.53,77,100,4.36,overcast clouds,Hotel Puma S.A.
71,71,Tocantins,BR,-10.5,-48.0,77.29,95,87,0.87,light rain,
73,73,Bengkulu,ID,-3.8004,102.2655,80.17,75,37,5.17,scattered clouds,Grage Hotel Bengkulu
85,85,Avarua,CK,-21.2078,-159.775,77.05,57,75,10.36,broken clouds,Paradise Inn
87,87,Ailigandi,PA,9.2333,-78.0167,78.89,88,100,5.53,overcast clouds,Akwa Reef Lodge
90,90,Sorong,ID,-0.8833,131.25,84.52,71,100,6.31,overcast clouds,Waigo Splash Hotel
95,95,Chabahar,IR,25.2919,60.643,76.32,71,24,2.98,few clouds,هتل گدروشیا
102,102,Pauini,BR,-7.7136,-66.9764,81.1,71,76,2.44,broken clouds,Casa do Kiwliks
103,103,Road Town,VG,18.4167,-64.6167,78.89,100,40,4.61,scattered clouds,"ZINGARA 76ft Catamaran, full crew-all included"
105,105,Ipu,BR,-4.3222,-40.7108,78.64,72,69,4.79,broken clouds,Our hostel Corner
107,107,Hithadhoo,MV,-0.6,73.0833,80.69,75,21,7.96,few clouds,Scoop Guest House
114,114,Santa Ines,BR,-3.6667,-45.38,75.79,87,43,0.72,scattered clouds,Palace hotel
117,117,Oranjestad,AW,12.524,-70.027,82.35,77,20,14.97,few clouds,Divi Village Golf & Beach Resort
121,121,Saint-Philippe,RE,-21.3585,55.7679,71.19,75,5,9.4,clear sky,Le four à pain
122,122,Mabaruma,GY,8.2,-59.7833,72.25,99,92,2.62,overcast clouds,Monty Brooms Guest House
129,129,Black River,JM,18.0264,-77.8487,77.16,80,73,2.8,broken clouds,Idlers' Rest Beach Hotel
131,131,Mataura,NZ,-46.1927,168.8643,72.09,45,100,4.07,light rain,Ellie's Villa
132,132,Tual,ID,-5.6667,132.75,84.74,73,100,9.66,overcast clouds,Grand Vilia Hotel
133,133,Meulaboh,ID,4.1363,96.1285,77.04,88,100,4.18,overcast clouds,Kost Pria
134,134,Lalmohan,BD,22.3384,90.7419,74.73,67,100,9.31,overcast clouds,Arifur Rahman Miraj
139,139,Cartagena Del Chaira,CO,1.3349,-74.8429,73.81,93,93,2.8,overcast clouds,HOTEL LA ROCA
141,141,Caucaia,BR,-3.7361,-38.6531,81.03,76,40,13.8,scattered clouds,M.O.S. Logística - Filial Fortaleza
143,143,Buchanan,LR,5.8808,-10.0467,76.62,86,98,2.71,light rain,Kamaneahn Hotel Inc
146,146,Pak Chong,TH,14.708,101.4161,75.18,81,89,9.01,overcast clouds,PakChong Phubade Hotel
150,150,Marechal Candido Rondon,BR,-24.5561,-54.0567,73.27,73,97,5.01,overcast clouds,Hotel Bender
161,161,Djibo,BF,14.1022,-1.6306,74.26,16,82,9.57,broken clouds,Centre Des Ressources DPENA
163,163,Hirara,JP,24.8,125.2833,79.07,69,20,17.27,few clouds,Hotel Atoll Emerald Miyakojima
165,165,Carnarvon,AU,-24.8667,113.6333,82.27,32,0,9.66,clear sky,Hospitality Carnarvon
167,167,Bairiki,KI,1.3292,172.9752,87.8,70,40,11.5,scattered clouds,Tarawa Boutique Hotel
168,168,Ashqelon,IL,31.6693,34.5715,71.82,41,99,11.03,overcast clouds,Leonardo Ashkelon
170,170,Christchurch,NZ,-43.5333,172.6333,75.4,41,40,16.11,light rain,The George
172,172,Victoria,HK,22.2855,114.1577,80.19,76,98,8.99,overcast clouds,Mini Central
174,174,Banda Aceh,ID,5.5577,95.3222,82.13,73,98,11.41,overcast clouds,OYO 884 Rumoh PMI Hotel
175,175,Touros,BR,-5.1989,-35.4608,78.66,75,15,15.26,few clouds,INN NEW HORIZON
178,178,Georgetown,MY,5.4112,100.3354,82.33,88,20,2.3,few clouds,Cititel Penang
180,180,Cabo San Lucas,MX,22.8909,-109.9124,76.51,71,1,4.97,clear sky,Hotel Tesoro Los Cabos
182,182,Souillac,MU,-20.5167,57.5167,70.18,88,20,3.44,few clouds,Shanti Maurice Resort & Spa
190,190,Port Hedland,AU,-20.3167,118.5667,82.74,31,100,16.93,light rain,The Esplanade Hotel
191,191,Kahului,US,20.8947,-156.47,80.31,74,4,10.0,clear sky,Maui Seaside Hotel
192,192,Wanning,CN,18.8003,110.3967,76.03,94,100,12.33,moderate rain,Paradise Hotel
194,194,Sai Buri,TH,6.7013,101.6168,78.51,78,100,6.11,overcast clouds,สวนป่ารีสอร์ท
195,195,Sagua La Grande,CU,22.8067,-80.0756,74.26,90,27,7.92,moderate rain,Hotel Telégrafo
197,197,Lazaro Cardenas,MX,17.9583,-102.2,77.95,81,95,3.74,overcast clouds,HOTEL QUINTA ANTIGUA
198,198,Kavieng,PG,-2.5744,150.7967,85.15,61,100,10.29,overcast clouds,Nusa Island Retreat
200,200,San Rafael Del Sur,NI,11.8485,-86.4384,74.37,74,100,12.71,overcast clouds,Hospedaje El Chino
201,201,La Asuncion,VE,11.0333,-63.8628,80.33,94,11,11.5,few clouds,Colinas de Matasiete
207,207,Grand Gaube,MU,-20.0064,57.6608,71.38,76,1,3.0,clear sky,Veranda Paul et Virginie Hotel & Spa
208,208,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.55,91,79,7.65,broken clouds,Pousada Porto De Canoas
210,210,Ambon,ID,-3.6954,128.1814,86.14,74,40,3.44,scattered clouds,Swiss-Belhotel Ambon
216,216,Luwuk,ID,-0.9516,122.7875,82.33,75,100,1.99,overcast clouds,Hotel Santika Luwuk
217,217,Padang,ID,-0.9492,100.3543,80.65,77,100,2.77,overcast clouds,Mercure Padang
219,219,Innisfail,AU,-17.5333,146.0333,88.14,62,3,10.51,clear sky,Moondarra Motel
221,221,Kerema,PG,-7.9631,145.7785,83.41,77,49,12.28,scattered clouds,Frena Lodge
223,223,Alice Springs,AU,-23.7,133.8833,76.55,22,100,16.11,overcast clouds,Desert Palms Alice Springs
225,225,Chipata,ZM,-13.6333,32.65,70.14,48,6,4.94,clear sky,Protea Hotel by Marriott Chipata
227,227,Dogondoutchi,NE,13.6393,4.0287,76.5,17,100,8.08,overcast clouds,Hôtel Alheri Maison Alheri
234,234,Japura,ID,-0.3167,102.35,81.25,77,100,3.87,overcast clouds,Rumah mbah Jamah
240,240,Kismayo,SO,-0.3582,42.5454,77.92,84,69,7.31,broken clouds,Agan-Hotel
245,245,Isangel,VU,-19.55,169.2667,87.91,74,13,9.22,few clouds,Tanna Lodge
252,252,Mount Isa,AU,-20.7333,139.5,87.57,19,100,9.22,overcast clouds,ibis Styles Mt Isa Verona
258,258,Kathu,TH,7.9178,98.3332,83.7,99,100,9.26,overcast clouds,Novotel Phuket Resort
261,261,Labuhan,ID,-6.8844,112.2051,83.95,66,100,5.91,overcast clouds,DoubleFAG
262,262,Santa Rosa,PH,14.3122,121.1114,83.01,83,76,14.16,broken clouds,Erlyn’s Sta Rosa City Home
264,264,Ghanzi,BW,-21.5667,21.7833,79.74,23,69,8.48,broken clouds,Ghanzi Farmhouse
271,271,Acajutla,SV,13.5928,-89.8275,79.99,71,88,3.67,overcast clouds,CASA DE LA PERRA
279,279,Boyolangu,ID,-8.1181,111.8935,83.97,66,57,4.29,broken clouds,Yos ega cv
281,281,Acapulco,MX,16.8634,-99.8901,78.93,83,12,6.96,few clouds,HS Hotsson Smart Acapulco
282,282,Sao Filipe,CV,14.8961,-24.4956,75.58,66,46,10.94,scattered clouds,Hotel Xaguate
283,283,Pitimbu,BR,-7.4706,-34.8086,75.79,72,100,12.28,overcast clouds,Reserva do Abiaí
285,285,Lorengau,PG,-2.0226,147.2712,86.02,60,18,8.86,few clouds,Lorengau Harbourside Hotel
289,289,Progreso,MX,21.2833,-89.6667,78.12,84,100,5.93,overcast clouds,Playa Linda Hotel
297,297,Acarau,BR,-2.8856,-40.12,79.41,78,60,15.66,broken clouds,castelo pizzaria
302,302,Dakar,SN,14.6937,-17.4441,72.48,63,100,21.3,overcast clouds,Novotel Dakar
304,304,Humberto De Campos,BR,-2.5983,-43.4611,76.06,89,6,4.7,clear sky,Pousada do Cabeça
309,309,Puerto Lopez,CO,4.0845,-72.956,74.3,94,100,3.38,overcast clouds,Resguardo Indigena Maguare
311,311,Alice Town,BS,25.7167,-79.3,77.0,81,61,21.3,broken clouds,Bimini Big Game Club Resort & Marina
320,320,Samarai,PG,-10.6167,150.6667,85.89,70,88,16.26,light rain,Nuli Sapi
321,321,Governador Valadares,BR,-18.8511,-41.9494,71.35,83,100,4.43,moderate rain,Hotel Panorama
322,322,Couva,TT,10.4225,-61.4675,77.2,48,57,4.0,broken clouds,Metro Hotel
324,324,Flinders,AU,-34.5833,150.8552,70.38,40,1,18.99,clear sky,Shellharbour Resort & Conference Centre
331,331,Mineros,BO,-17.1167,-63.2333,77.61,75,82,3.18,light rain,Colpacaranda Eco Resort
336,336,Treinta Y Tres,UY,-33.2333,-54.3833,70.02,74,100,10.2,overcast clouds,Jardines Apart-Hotel
337,337,Phan Thiet,VN,10.9333,108.1,78.98,81,100,7.49,moderate rain,Hotel Saigon-PT
339,339,Anori,BR,-3.7728,-61.6442,81.84,60,85,0.92,overcast clouds,Novo Hotel 5 Irmãos
349,349,Kpandae,GH,8.4689,-0.0113,77.67,47,89,2.98,overcast clouds,Catholic Guest House
350,350,La Palma,US,33.8464,-118.0467,70.29,36,4,1.01,clear sky,La Quinta Inn & Suites by Wyndham Buena Park
355,355,Langsa,ID,4.4683,97.9683,79.2,87,100,2.95,overcast clouds,OYO 3328 Hotel Mori
361,361,Kupang,ID,-10.1667,123.5833,86.58,74,75,4.61,broken clouds,Hotel On The Rock by Prasanthi
367,367,Araouane,ML,18.9048,-3.5265,70.88,17,58,13.87,broken clouds,
368,368,Salalah,OM,17.0151,54.0924,74.43,62,100,3.22,overcast clouds,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
370,370,Maningrida,AU,-12.0667,134.2667,93.65,47,72,6.04,broken clouds,Dhukurrdji Lodge
372,372,Manado,ID,1.487,124.8455,90.37,66,20,2.3,few clouds,Aryaduta Hotel
377,377,Lamu,KE,-2.2717,40.902,77.43,87,69,6.78,broken clouds,Lamu House
382,382,Xuddur,SO,4.1213,43.8894,73.15,81,43,9.53,scattered clouds,Banjanay Hotel
385,385,Akyab,MM,20.15,92.9,78.67,76,5,4.94,clear sky,ဟိုတယ် မန်မိုရီ
