City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,East London,ZA,2022-11-14 00:15:07,-33.0153,27.9116,61.43,76,3,8.63
95,Touros,BR,2022-11-14 00:19:33,-5.1989,-35.4608,79.05,78,9,13.78
96,Kapaa,US,2022-11-14 00:19:34,22.0752,-159.319,82.38,71,20,16.11
97,Puerto Ayora,EC,2022-11-14 00:19:34,-0.7393,-90.3518,69.55,85,25,5.01
98,Morogoro,TZ,2022-11-14 00:19:35,-6.8167,37.6667,68.09,93,10,2.33
99,Avarua,CK,2022-11-14 00:15:03,-21.2078,-159.775,77.05,57,20,13.8
100,Calama,CL,2022-11-14 00:19:35,-22.4667,-68.9333,59.49,8,0,13.8
101,Atasu,KZ,2022-11-14 00:19:36,48.6814,71.6433,32.74,64,100,25.5
102,Shimoda,JP,2022-11-14 00:19:37,34.6667,138.95,62.96,65,92,20.09
103,Comodoro Rivadavia,AR,2022-11-14 00:19:37,-45.8667,-67.5,55.26,82,20,2.3
104,Bonavista,CA,2022-11-14 00:17:43,48.6499,-53.1147,32.95,72,99,6.42
105,Saskylakh,RU,2022-11-14 00:19:38,71.9167,114.0833,-6.63,94,100,11.72
106,Ponsacco,IT,2022-11-14 00:19:38,43.6238,10.6291,55.71,81,91,4.0
107,Cherskiy,RU,2022-11-14 00:19:38,68.75,161.3,-6.39,98,100,3.27
108,Albany,US,2022-11-14 00:18:48,42.6001,-73.9662,39.38,76,40,1.99
109,Olga,RU,2022-11-14 00:19:39,43.7444,135.2892,28.81,66,22,4.56
110,Sioux Lookout,CA,2022-11-14 00:15:55,50.1001,-91.917,19.47,86,100,0.0
111,Pisco,PE,2022-11-14 00:19:40,-13.7,-76.2167,66.25,77,100,13.8
112,Dalbandin,PK,2022-11-14 00:19:40,28.8947,64.4101,59.22,63,49,4.21
113,Berlevag,NO,2022-11-14 00:19:41,70.8578,29.0864,33.8,86,100,11.5
114,North Bend,US,2022-11-14 00:15:55,43.4065,-124.2243,52.25,77,0,13.8
115,Wanning,CN,2022-11-14 00:19:41,18.8003,110.3967,76.14,88,70,6.38
116,Luau,AO,2022-11-14 00:19:42,-10.7073,22.2247,63.19,99,91,4.05
117,San Francisco,US,2022-11-14 00:15:31,37.7749,-122.4194,64.67,52,20,17.27
118,Padang,ID,2022-11-14 00:19:42,-0.9492,100.3543,75.25,95,100,4.25
119,Belmonte,BR,2022-11-14 00:19:43,-15.8631,-38.8828,75.85,89,80,8.55
120,Itarema,BR,2022-11-14 00:19:43,-2.9248,-39.9167,79.65,81,13,16.49
121,Storebo,NO,2022-11-14 00:19:43,60.0948,5.2271,48.78,80,100,0.65
122,Magadan,RU,2022-11-14 00:19:44,59.5667,150.8,9.77,93,90,7.85
123,Micheweni,TZ,2022-11-14 00:19:44,-4.9667,39.8333,77.34,79,25,6.08
124,Lewistown,US,2022-11-14 00:19:45,40.5992,-77.5714,40.19,81,0,6.91
125,Saint-Philippe,RE,2022-11-14 00:17:49,-21.3585,55.7679,71.19,83,91,12.62
126,Saint-Francois,FR,2022-11-14 00:17:31,46.4154,3.9054,42.24,100,100,2.3
127,Muncar,ID,2022-11-14 00:19:46,-8.4333,114.3333,80.53,84,100,0.56
128,Vila Franca Do Campo,PT,2022-11-14 00:19:46,37.7167,-25.4333,63.01,80,100,11.74
129,Narsaq,GL,2022-11-14 00:17:53,60.9167,-46.05,50.22,61,98,8.61
130,Xichang,CN,2022-11-14 00:19:47,27.8964,102.2634,47.37,87,6,0.67
131,Bengkulu,ID,2022-11-14 00:19:47,-3.8004,102.2655,72.95,97,100,7.09
132,Faanui,PF,2022-11-14 00:19:48,-16.4833,-151.75,72.46,85,100,10.38
133,Tuatapere,NZ,2022-11-14 00:19:48,-46.1333,167.6833,67.68,53,60,4.83
134,Saint Anthony,US,2022-11-14 00:15:55,45.0205,-93.218,27.82,62,40,6.91
135,Nyagan,RU,2022-11-14 00:19:49,62.1406,65.3936,5.59,95,100,7.11
136,Margate,GB,2022-11-14 00:19:50,51.3813,1.3862,54.9,91,8,3.0
137,Bambous Virieux,MU,2022-11-14 00:16:40,-20.3428,57.7575,71.22,88,75,5.75
138,Vostok,RU,2022-11-14 00:20:50,46.4856,135.8833,20.17,81,28,3.31
139,Mount Gambier,AU,2022-11-14 00:16:30,-37.8333,140.7667,53.51,94,100,20.71
140,Bayir,TR,2022-11-14 00:20:51,37.2687,28.2167,41.52,45,3,3.13
141,Iqaluit,CA,2022-11-14 00:20:51,63.7506,-68.5145,19.13,85,75,3.44
142,Killybegs,IE,2022-11-14 00:20:52,54.6333,-8.45,51.26,91,100,6.93
143,Umm Kaddadah,SD,2022-11-14 00:20:52,13.6017,26.6876,69.06,20,7,11.9
144,Airai,TL,2022-11-14 00:20:52,-8.9266,125.4092,70.18,70,98,2.33
145,Petropavlovsk-Kamchatskiy,RU,2022-11-14 00:20:53,53.0452,158.6483,18.19,63,0,4.47
146,Bandar-E Lengeh,IR,2022-11-14 00:20:53,26.5579,54.8807,77.11,41,0,9.22
147,Benjamin Aceval,PY,2022-11-14 00:20:54,-24.9667,-57.5667,73.6,98,56,3.02
148,Mponela,MW,2022-11-14 00:20:54,-13.5319,33.7401,68.99,55,74,3.69
149,Keetmanshoop,NA,2022-11-14 00:20:54,-26.5833,18.1333,66.63,23,0,9.35
150,Anchorage,US,2022-11-14 00:20:49,61.2181,-149.9003,39.63,89,100,10.0
151,Lebu,CL,2022-11-14 00:20:55,-37.6167,-73.65,54.3,90,52,7.81
152,Severo-Kurilsk,RU,2022-11-14 00:20:55,50.6789,156.125,31.35,91,100,34.58
153,Qaanaaq,GL,2022-11-14 00:20:56,77.484,-69.3632,-2.29,96,98,4.09
154,Nikolskoye,RU,2022-11-14 00:20:57,59.7035,30.7861,34.81,85,63,4.14
155,Genhe,CN,2022-11-14 00:20:57,50.7833,121.5167,1.13,100,100,0.96
156,Port Hardy,CA,2022-11-14 00:18:44,50.6996,-127.4199,42.98,87,75,2.3
157,Kaitangata,NZ,2022-11-14 00:20:58,-46.2817,169.8464,59.74,64,50,12.55
158,Chapais,CA,2022-11-14 00:20:58,49.7834,-74.8492,20.98,96,100,4.34
159,Amahai,ID,2022-11-14 00:20:59,-3.3333,128.9167,84.7,72,100,1.32
160,Bluff,NZ,2022-11-14 00:20:59,-46.6,168.3333,58.8,70,36,10.67
161,Merauke,ID,2022-11-14 00:20:59,-8.4667,140.3333,85.19,69,62,10.54
162,Sola,VU,2022-11-14 00:21:00,-13.8833,167.55,81.27,83,100,0.0
163,Tazovskiy,RU,2022-11-14 00:21:01,67.4667,78.7,-12.64,87,100,7.81
164,Tonota,BW,2022-11-14 00:21:01,-21.4833,27.4833,66.02,82,4,2.84
165,Kununurra,AU,2022-11-14 00:18:42,-15.7667,128.7333,91.38,55,39,5.75
166,Baykit,RU,2022-11-14 00:21:02,61.67,96.37,0.19,96,100,9.44
167,Rio Grande,BR,2022-11-14 00:21:03,-32.035,-52.0986,69.91,96,100,23.11
168,San Patricio,US,2022-11-14 00:19:01,28.017,-97.5169,63.84,66,91,9.1
169,Anadyr,RU,2022-11-14 00:21:04,64.75,177.4833,10.9,92,85,4.47
170,Lahaina,US,2022-11-14 00:17:27,20.8783,-156.6825,84.2,80,1,11.27
171,Kruisfontein,ZA,2022-11-14 00:21:04,-34.0033,24.7314,51.89,81,0,5.91
172,Aswan,EG,2022-11-14 00:21:05,24.0934,32.907,70.66,30,0,11.43
173,Taltal,CL,2022-11-14 00:17:35,-25.4,-70.4833,64.92,58,18,3.98
174,Waipawa,NZ,2022-11-14 00:21:06,-41.4122,175.5153,59.92,57,34,7.81
175,Guangyuan,CN,2022-11-14 00:21:06,32.442,105.823,44.33,89,31,3.56
176,Marawi,PH,2022-11-14 00:21:07,7.9986,124.2928,74.61,81,90,1.45
177,Pangnirtung,CA,2022-11-14 00:21:07,66.1451,-65.7125,14.0,73,40,8.05
178,Plettenberg Bay,ZA,2022-11-14 00:21:08,-34.0527,23.3716,56.7,78,0,4.47
179,Yellowknife,CA,2022-11-14 00:16:49,62.456,-114.3525,21.72,93,75,12.66
180,Priyutnoye,RU,2022-11-14 00:20:12,46.1011,43.5072,45.9,87,58,22.19
181,Hillsborough,US,2022-11-14 00:19:09,37.5741,-122.3794,62.33,49,20,17.27
182,Vestmannaeyjar,IS,2022-11-14 00:19:06,63.4427,-20.2734,47.28,91,100,18.14
183,Santa Maria Del Oro,MX,2022-11-14 00:22:09,25.9333,-105.3667,67.55,18,23,16.71
184,Saint George,US,2022-11-14 00:22:10,37.1041,-113.5841,48.25,45,0,8.05
185,Mahebourg,MU,2022-11-14 00:22:10,-20.4081,57.7,71.26,88,75,5.75
186,Khrebtovaya,RU,2022-11-14 00:22:11,56.7032,104.2494,26.26,96,100,8.79
187,Tanout,NE,2022-11-14 00:22:11,14.9709,8.8879,71.47,24,0,10.74
188,Oktyabrskoye,RU,2022-11-14 00:22:12,43.0645,44.7417,35.35,86,23,6.71
189,Tongliao,CN,2022-11-14 00:22:12,43.6125,122.2653,24.58,68,1,8.01
190,Tasiilaq,GL,2022-11-14 00:22:13,65.6145,-37.6368,39.36,92,100,38.32
191,Storforshei,NO,2022-11-14 00:22:13,66.4043,14.5233,34.66,100,100,0.0
192,Newry,GB,2022-11-14 00:22:14,54.1784,-6.3374,53.11,96,98,7.78
193,Chokurdakh,RU,2022-11-14 00:22:14,70.6333,147.9167,-19.28,97,97,7.16
